,city,country,continent,Province,Region,city_id
0,['Tokyo'],Japan,Asia,[],[],[]
1,"['jakarta', 'Surabaya', 'Bekasi', 'Bandung', 'Medan', 'Depok', 'Tangerang', 'Palembang', 'Semarang', 'Makassar', 'South', 'Batam', 'Bandar', 'Bogor', 'Pekanbaru', 'Padang', 'Malang', 'Samarinda', 'Denpasar', 'Tasikmalaya', 'Serang', 'Balikpapan', 'Pontianak', 'Banjarmasin', 'Jambi', 'Cimahi', 'Surakarta', 'Manado', 'Kupang', 'Cilegon', 'Mataram', 'Jayapura', 'Bengkulu', 'Yogyakarta', 'Palu', 'Ambon', 'Sukabumi', 'Kendari', 'Cirebon', 'Dumai', 'Pekalongan', 'Palangka', 'Binjai', 'Kediri', 'Sorong', 'Tegal', 'Pematangsiantar', 'Banjarbaru', 'Banda Aceh', 'Tarakan', 'Probolinggo', 'Singkawang', 'Lubuklinggau', 'Tanjungpinang', 'Bitung', 'Padang Sidempuan', 'Pangkalpinang', 'Batu', 'Pasuruan', 'Ternate', 'Banjar', 'Gorontalo', 'Madiun', 'Prabumulih', 'Salatiga', 'Lhokseumawe', 'Langsa', 'Palopo', 'Bontang', 'Tanjungbalai', 'Tebing Tinggi', 'Metro', 'Baubau', 'Bima', 'Parepare', 'Blitar', 'Pagar Alam', 'Payakumbuh', 'Gunungsitoli', 'Mojokerto', 'Kotamobagu', 'Magelang', 'Bukittinggi', 'Tidore', 'Tomohon', 'Sungai', 'Pariaman', 'Subulussalam', 'Sibolga', 'Tual', 'Solok', 'Sawahlunto', 'Padang panjang', 'Sabang']",Indonesia,Asia,"['Special Region of Jakarta', 'East Java', 'West Java', 'North Sumatra', 'Banten', 'South Sumatra', 'Central Java', 'South Sulawesi', 'Riau Islands', 'Lampung', 'Riau', 'West Sumatra', 'East Kalimantan', 'Bali', 'West Kalimantan', 'South Kalimantan', 'Jambi', 'North Sulawesi', 'East Nusa Tenggara', 'West Nusa Tenggara', 'Papua', 'Bengkulu', 'Special Region of Yogyakarta', 'Central Sulawesi', 'Maluku', 'Southeast Sulawesi', ' RayaCentral Kalimantan', 'Southwest Papua', 'Aceh', 'North Kalimantan', 'Bangka Belitung Islands', 'North Maluku', 'Gorontalo']","['Java', 'Sumatra', 'Sulawesi', 'Kalimantan', 'Lesser Sunda Islands', 'New Guinea', 'Islands', 'Maluku Islands', 'Sulawes']","[[0, 0], [1, 0], [2, 0], [2, 0], [3, 1], [2, 0], [4, 0], [5, 1], [6, 0], [7, 2], [4, 0], [8, 1], [9, 1], [2, 0], [10, 1], [11, 1], [1, 0], [12, 3], [13, 4], [2, 0], [4, 0], [12, 3], [14, 3], [15, 3], [16, 1], [2, 0], [6, 0], [17, 2], [18, 4], [4, 0], [19, 4], [20, 5], [21, 1], [22, 0], [23, 2], [24, 6], [2, 0], [25, 2], [2, 0], [10, 1], [6, 0], [26, 3], [3, 1], [1, 0], [27, 5], [6, 0], [3, 1], [15, 3], [28, 1], [29, 3], [1, 0], [14, 3], [5, 1], [8, 1], [17, 2], [3, 1], [30, 1], [1, 0], [1, 0], [31, 7], [2, 0], [32, 8], [1, 0], [5, 1], [6, 0], [28, 1], [28, 1], [7, 2], [12, 3], [3, 1], [3, 1], [9, 1], [25, 2], [19, 4], [7, 2], [1, 0], [5, 1], [11, 1], [3, 1], [1, 0], [17, 2], [6, 0], [11, 1], [3, 7], [17, 2], [16, 1], [11, 1], [28, 1], [3, 1], [24, 7], [11, 1], [11, 1], [11, 1], [28, 1]]"
2,['Delhi'],India,Asia,[],[],[]
3,['Mumbai'],India,,[],[],[]
4,['Manila'],Philippines,Asia,[],[],[]
5,['Shanghai'],China,Asia,[],[],[]
6,['Ṣo Paulo'],Brazil,South America,[],[],[]
7,['Seoul'],South Korea,Asia,[],[],[]
8,['Mexico City'],Mexico,North America,[],[],[]
9,['Cairo'],Egypt,Africa,[],[],[]
10,['Dhaka'],Bangladesh,Asia,[],[],[]
11,['Osaka'],Japan,,[],[],[]
12,['New York City'],United States,North America,[],[],[]
13,['Karachi'],Pakistan,Asia,[],[],[]
14,['Buenos Aires'],Argentina,South America,[],[],[]
15,['Istanbul'],Turkey,Asia,[],[],[]
16,['Beijing'],China,,[],[],[]
17,['Manhattan'],United States,,[],[],[]
18,['Kolkata'],India,,[],[],[]
19,['Moscow'],Russia,Europe,[],[],[]
20,['Bangkok'],Thailand,Asia,[],[],[]
21,['Lagos'],Nigeria,Africa,[],[],[]
22,['London'],United Kingdom,Europe,[],[],[]
23,['Singapore'],Singapore,Asia,[],[],[]
24,['Paris'],France,Europe,[],[],[]
25,['Chicago'],United States,,[],[],[]
26,['Toronto'],Canada,North America,[],[],[]
27,['Sydney'],Australia,Oceania,[],[],[]
28,['Los Angeles'],United States,,[],[],[]
29,['Tehran'],Iran,Asia,[],[],[]
30,['Riyadh'],Saudi Arabia,Asia,[],[],[]
31,['Madrid'],Spain,Europe,[],[],[]
32,['Johannesburg'],South Africa,Africa,[],[],[]
33,['Berlin'],Germany,Europe,[],[],[]
34,['Rome'],Italy,Europe,[],[],[]
35,['Nairobi'],Kenya,Africa,[],[],[]
36,['Vienna'],Austria,Europe,[],[],[]
37,['Amsterdam'],Netherlands,Europe,[],[],[]
38,['Athens'],Greece,Europe,[],[],[]
39,['Stockholm'],Sweden,Europe,[],[],[]
40,['Copenhagen'],Denmark,Europe,[],[],[]
41,['Helsinki'],Finland,,[],[],[]
42,['Dublin'],Ireland,,[],[],[]
43,['Lisbon'],Portugal,Europe,[],[],[]
44,['Warsaw'],Poland,Europe,[],[],[]
45,['Prague'],Czech Republic,Europe,[],[],[]
46,['Budapest'],Hungary,,[],[],[]
47,['Brussels'],Belgium,Europe,[],[],[]
48,['Zurich'],Switzerland,Europe,[],[],[]
49,['Oslo'],Norway,Europe,[],[],[]
50,['Istanbul'],Turkey,,[],[],[]
51,['Dubai'],United Arab Emirates,,[],[],[]
52,['Mumbai'],India,,[],[],[]
53,['Hong Kong'],China,,[],[],[]
54,['Tokyo'],Japan,,[],[],[]
55,['Sydney'],Australia,,[],[],[]
56,['New York City'],United States,,[],[],[]
57,['London'],United Kingdom,,[],[],[]
58,['Paris'],France,,[],[],[]
59,['Dubai'],United Arab Emirates,,[],[],[]
60,['Singapore'],Singapore,,[],[],[]
61,['Kuala Lumpur'],Malaysia,Asia,[],[],[]
62,['Istanbul'],Turkey,,[],[],[]
63,['Seoul'],South Korea,,[],[],[]
64,['Hong Kong'],China,,[],[],[]
65,['Bangkok'],Thailand,,[],[],[]
66,['Macau'],China,,[],[],[]
67,['Mecca'],Saudi Arabia,,[],[],[]
68,['Medina'],Saudi Arabia,,[],[],[]
69,['Cairo'],Egypt,,[],[],[]
70,['Tehran'],Iran,,[],[],[]
71,['Tel Aviv'],Israel,,[],[],[]
72,['Jerusalem'],Israel,,[],[],[]
73,['Amman'],Jordan,,[],[],[]
74,['Beirut'],Lebanon,,[],[],[]
75,['Baghdad'],Iraq,Asia,[],[],[]
76,['Kuwait City'],Kuwait,,[],[],[]
77,['Riyadh'],Saudi Arabia,,[],[],[]
78,"[""Sana'a""]",Yemen,Asia,[],[],[]
79,['Abu Dhabi'],United Arab Emirates,,[],[],[]
80,['Doha'],Qatar,,[],[],[]
81,['Manama'],Bahrain,Asia,[],[],[]
82,['Muscat'],Oman,,[],[],[]
83,['Nicosia'],Cyprus,Asia,[],[],[]
84,['Ankara'],Turkey,,[],[],[]
85,['Athens'],Greece,,[],[],[]
86,['Sofia'],Bulgaria,Europe,[],[],[]
87,['Belgrade'],Serbia,,[],[],[]
88,['Bucharest'],Romania,Europe,[],[],[]
89,['Budapest'],Hungary,,[],[],[]
90,['Zagreb'],Croatia,Europe,[],[],[]
91,['Ljubljana'],Slovenia,,[],[],[]
92,['Bratislava'],Slovakia,,[],[],[]
93,['Warsaw'],Poland,,[],[],[]
94,['Prague'],Czech Republic,,[],[],[]
95,['Vienna'],Austria,,[],[],[]
96,['Berlin'],Germany,,[],[],[]
97,['Amsterdam'],Netherlands,,[],[],[]
98,['Brussels'],Belgium,,[],[],[]
99,['Luxembourg'],Luxembourg,,[],[],[]
100,['Paris'],France,,[],[],[]
101,['Madrid'],Spain,,[],[],[]
102,['Lisbon'],Portugal,,[],[],[]
103,['London'],United Kingdom,,[],[],[]
104,['Dublin'],Ireland,,[],[],[]
105,['Edinburgh'],United Kingdom,,[],[],[]
106,['Copenhagen'],Denmark,,[],[],[]
107,['Stockholm'],Sweden,,[],[],[]
108,['Oslo'],Norway,,[],[],[]
109,['Helsinki'],Finland,,[],[],[]
110,['Reykjavik'],Iceland,Europe,[],[],[]
111,['Moscow'],Russia,,[],[],[]
112,['Warsaw'],Poland,,[],[],[]
113,['Berlin'],Germany,,[],[],[]
114,['Paris'],France,,[],[],[]
115,['London'],United Kingdom,,[],[],[]
116,['Istanbul'],Turkey,,[],[],[]
117,['Rome'],Italy,,[],[],[]
118,['Kiev'],Ukraine,Europe,[],[],[]
119,['Madrid'],Spain,,[],[],[]
120,['Bucharest'],Romania,,[],[],[]
121,['Minsk'],Belarus,Europe,[],[],[]
122,['Vienna'],Austria,,[],[],[]
123,['Budapest'],Hungary,,[],[],[]
124,['Warsaw'],Poland,,[],[],[]
125,['Belgrade'],Serbia,,[],[],[]
126,['Prague'],Czech Republic,,[],[],[]
127,['Sofia'],Bulgaria,,[],[],[]
128,['Bucharest'],Romania,,[],[],[]
129,['Athens'],Greece,,[],[],[]
130,['Stockholm'],Sweden,,[],[],[]
131,['Oslo'],Norway,,[],[],[]
132,['Copenhagen'],Denmark,,[],[],[]
133,['Helsinki'],Finland,,[],[],[]
134,['Reykjavik'],Iceland,,[],[],[]
135,['Tallinn'],Estonia,,[],[],[]
136,['Riga'],Latvia,,[],[],[]
137,['Vilnius'],Lithuania,,[],[],[]
138,['Warsaw'],Poland,,[],[],[]
139,['Prague'],Czech Republic,,[],[],[]
140,['Vienna'],Austria,,[],[],[]
141,['Budapest'],Hungary,,[],[],[]
142,['Berlin'],Germany,,[],[],[]
143,['Amsterdam'],Netherlands,,[],[],[]
144,['Brussels'],Belgium,,[],[],[]
145,['Luxembourg'],Luxembourg,,[],[],[]
146,['Paris'],France,,[],[],[]
147,['Madrid'],Spain,,[],[],[]
148,['Lisbon'],Portugal,,[],[],[]
149,['Rome'],Italy,,[],[],[]
150,['Athens'],Greece,,[],[],[]
151,['Stockholm'],Sweden,,[],[],[]
152,['Oslo'],Norway,,[],[],[]
153,['Copenhagen'],Denmark,,[],[],[]
154,['Helsinki'],Finland,,[],[],[]
155,['Reykjavik'],Iceland,,[],[],[]
156,['Dublin'],Ireland,,[],[],[]
157,['London'],United Kingdom,,[],[],[]
158,['Edinburgh'],United Kingdom,,[],[],[]
159,['Cardiff'],United Kingdom,,[],[],[]
160,['Amsterdam'],Netherlands,,[],[],[]
161,['Brussels'],Belgium,,[],[],[]
162,['Luxembourg'],Luxembourg,,[],[],[]
163,['Paris'],France,,[],[],[]
164,['Madrid'],Spain,,[],[],[]
165,['Lisbon'],Portugal,,[],[],[]
166,['Rome'],Italy,,[],[],[]
167,['Athens'],Greece,,[],[],[]
168,['Berlin'],Germany,,[],[],[]
169,['Copenhagen'],Denmark,,[],[],[]
170,['Stockholm'],Sweden,,[],[],[]
171,['Oslo'],Norway,,[],[],[]
172,['Helsinki'],Finland,,[],[],[]
173,['Reykjavik'],Iceland,,[],[],[]
